Name,S02,S03,S04,S05,S06,S07,S10,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S34,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S49,S50,C01,C02,C03,C04,C05,C06,C07,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C34,C36,C38,C39,C40,C41,C42,C45,C46,C48,C49,C50
Pyroglutamic acid,6.671478455,26.8167011,21.8802265,30.61199524,63.31377266,41.59241569,18.48517817,7.939967586,8.27098535,8.100737034,10.55545653,8.257361373,8.907674182,15.94530582,9.108789781,10.83361155,8.972247698,17.06488821,10.89236642,10.2164372,12.33010882,8.613665102,10.9186188,13.62352573,14.56401324,10.66241914,8.817658219,10.73743802,9.538286767,17.47071473,20.46474607,16.89050164,14.96947533,10.43248791,11.68767111,19.79552268,14.74073941,18.43266056,9.329596259,6.140452833,6.39062601,19.74825109,36.77846529,30.04746678,23.86545288,48.29248339,18.30987027,42.99413625,36.24619701,51.83817722,8.356927098,26.67640937,36.35280508,49.06851459,50.96250575,38.56530894,10.56517435,11.39740957,53.93448024,35.21644542,23.57936311,7.491791274,20.68504694,13.8862533,11.08906478,7.01371673,8.699223954,16.57135991,21.01587251,11.14187302,9.787114984,27.83068595,26.55042201,12.07645055,7.99908766,9.041196554,25.06213666,37.3575111,8.84369986,7.893666889,16.71513055,33.59006377,11.86976772
1-Aminocyclopropane-1-carboxylic acid,15.70517652,8.713002441,9.460645969,5.99372022,9.150410326,7.137193725,5.477863464,5.57010467,5.669810653,4.436379017,5.390811245,5.685361392,6.562465948,5.981398925,4.615630432,3.510350481,5.47289336,2.700307039,4.551991107,2.010945305,5.02762306,7.551275067,4.328863912,7.762313493,5.147957218,2.998335172,3.257955536,2.866679381,2.765294864,3.431738534,4.370294578,3.206526847,3.448920843,4.205794659,3.5696656,5.846787177,2.766970723,3.880642152,2.740770211,3.023979807,2.681187538,7.7048993,9.569029255,8.777271719,5.634957345,8.134682855,3.039232822,8.59206868,2.358437526,6.044148599,9.546954177,8.686663938,8.17262013,10.80458075,10.8180553,4.938207716,3.654394679,7.403383558,9.031071495,6.431991864,8.023187926,5.487235829,5.146014458,3.885015002,7.339139273,4.477929631,4.818178245,5.963324542,7.737068518,7.032544309,5.914388205,9.245665616,8.301300742,4.163354611,5.746408629,2.217660058,9.350116468,9.200056818,6.910066415,6.794228315,4.093764336,5.713276756,6.774186429
Methionine,0.403502423,0.378285809,0.436746542,0.365207648,0.593387831,0.523029185,0.258965651,0.3698137,0.324388705,0.322868874,0.44415158,0.318126625,0.424125818,0.581811389,0.30342336,0.303778973,0.356367165,0.50652179,0.466859895,0.360971937,0.420157028,0.334865563,0.354131036,0.31443749,0.465858661,0.303911297,0.312054097,0.443260454,0.374703196,0.521221071,0.516569553,0.404684923,0.349628175,0.372211664,0.418761242,0.402000552,0.444763925,0.397157409,0.342274035,0.308978233,0.307217797,0.501184249,0.460814939,0.590856106,4.507385084,0.69788888,6.321853456,0.539484334,5.610454889,0.588624993,0.616364787,0.554492607,0.507372728,0.501562912,0.611671725,0.661211331,0.51425254,0.535071146,0.60206678,0.465649302,0.765776865,0.294850977,0.529586174,0.476347073,0.317528316,5.422709054,0.312565053,0.560915661,0.757283614,0.456930097,0.502320424,0.376414203,0.48819228,4.277559191,0.40091979,3.04606281,0.449953953,0.634422597,0.433291252,0.410705425,0.553880843,0.560043659,0.338417605
NADP_NADPH,0.241073168,0.051238186,0.053356273,0.039972254,0.046071677,0.050641824,0.042223774,0.102325316,0.263003947,3.293810368,0.744984231,0.35599299,2.952119813,0.699860756,0.646369419,0.468033554,0.427103769,5.30715798,0.726713052,1.802166515,0.382254335,0.098368812,2.832239044,0.075009828,0.073715882,0.409312747,0.072627853,0.055743119,0.034309927,0.024870342,0.017967104,0.025227836,0.041972334,0.116187189,0.053683129,0.030991806,0.063686167,0.050518904,0.076383408,0.044379474,0.131710638,0.02586401,0.04387935,0.034404439,0.046137356,0.034943336,0.021169948,0.03511644,0.02329092,0.045983509,0.042055014,0.045340176,0.057066035,0.082117642,0.08197224,0.070146079,0.048315517,0.053890656,0.032032113,0.01742663,0.022864978,0.031365192,0.03848061,0.015254353,0.034580133,0.01248531,0.039833007,0.023323106,0.01387025,0.033147185,0.043320674,0.027909242,0.047887958,0.031621073,0.04705523,0.052506512,0.047440155,0.039414013,0.067254905,0.045762875,0.120397614,0.064464969,0.027741604
Levulinic acid,0.46245236,0.410742919,0.337157263,0.313071179,0.470063855,0.304397781,0.347838016,0.435172917,0.405016644,0.69194269,0.421795034,0.286544542,0.546879293,0.339684358,0.359404577,0.35531785,0.499204666,1.754750496,0.400352739,0.727903757,0.374875,0.325945898,1.063852638,0.329588718,0.284266572,0.898572281,0.283298348,0.514044882,0.382475984,0.448162325,0.389994823,0.522330979,0.363931069,0.757654937,0.66021792,0.380521702,0.515136166,0.51958769,1.246586127,0.626946722,1.030360288,0.551635642,0.461026104,0.613338197,0.517040783,0.709131427,0.440325787,0.439247732,0.503025032,0.531005064,0.943596272,0.727859581,0.760953766,0.669806166,0.782535591,0.697523541,0.811108521,0.605383766,0.840728844,0.69048905,0.937064301,0.841664315,1.437170302,0.393579446,0.690105965,0.55096072,0.419608201,0.869103756,0.299586564,1.018732218,1.531740287,0.561955194,0.580517325,0.438825744,0.926892872,0.428113314,0.629017515,0.716881335,1.003050655,0.890091565,0.795162416,0.610572127,0.708088091
Citramalic acid,0.473967627,0.614020804,0.490878446,0.440781526,0.651901714,0.357718644,0.418606775,0.487818268,0.544933315,1.107797086,0.508181827,0.340297393,1.045112002,0.492413364,0.481784246,0.482295964,0.50266206,2.259395908,0.589800061,0.694704629,0.48029046,0.321679119,0.931310001,0.437161495,0.592625619,0.785620301,0.34762709,0.931434421,0.59527318,0.827137634,0.622246429,0.511316188,0.416083549,0.669614245,0.716113585,0.465846452,0.650751409,0.742456707,0.742939242,0.534682227,0.586762012,0.34329613,0.751874254,0.716115851,1.410782308,0.825494692,1.082713752,0.678524,1.185630359,0.707318404,0.608742023,1.037253438,1.112978936,0.777310882,0.890859483,0.688587466,0.639168453,0.584063801,0.924834361,0.864964055,0.78808918,0.442850572,2.74959593,0.472911495,0.840900756,2.357287441,0.343114762,0.973568051,0.518810005,1.185782745,1.489987474,0.6044956,0.490248834,1.050587196,0.58910663,0.72088708,0.577755573,0.673929457,0.640268927,0.537375687,0.964885395,0.624905068,0.441639039
Quinic acid,22.4380728,34.17529199,27.03531247,22.55172032,31.51245194,25.22048367,22.27811924,30.20153743,48.22986378,40.6757069,26.69460277,33.30355057,47.93733608,25.93450342,43.80035559,38.18990783,51.36030255,311.2044506,46.29117999,112.7707202,38.97443325,22.00841754,85.47974805,32.17221229,30.09410169,100.8235388,27.48096692,82.82928522,53.65226335,40.83358228,36.39575201,38.04203518,22.9379037,41.56213875,25.57703585,19.44590361,27.91870155,21.7276359,68.14681167,33.06147142,57.75584435,21.1052665,15.54464508,21.32273793,32.21283836,33.70775806,20.84136548,19.07590226,26.23430718,19.02626424,38.08690344,34.86096781,30.17790455,17.16500938,25.74858255,23.94867412,29.92774868,21.18424472,18.94987503,22.44422517,29.76991922,35.26470636,58.85182578,11.34931355,36.3219262,23.35178127,20.24169043,27.57867726,18.29261611,71.89091115,69.48901912,16.68800556,18.02725143,24.65409116,34.21795838,24.89202671,16.03177946,18.61567678,63.66900219,26.15556037,21.06372139,17.13133939,22.38885857
Cysteine,0.291020233,1.599326981,2.00273784,0.458139404,0.565551525,2.336938816,0.148373544,1.278279826,2.773301492,0.420375145,1.323133556,2.124942594,0.442509928,0.45308485,0.952022489,0.235645064,2.831292834,1.134282569,2.003459967,3.01398039,1.670291144,0.509705453,0.351183075,0.405338123,1.056292087,0.686905758,0.274552714,1.118921352,0.719645398,0.625963051,0.75937798,0.820206336,0.438409469,0.523319281,0.690897539,0.278510482,0.212809552,0.405800427,0.322852307,0.137397826,0.128633989,1.022618337,0.596595306,0.584906982,1.015427826,0.202815119,0.180527389,0.259781089,1.439514483,0.188241314,0.17094761,2.052438329,2.888184791,0.753792235,0.925122495,0.43404078,0.143562119,0.153242146,0.493772133,0.436250943,0.130002305,0.147082677,0.357388726,0.103721395,0.325208304,0.224401591,0.093161179,0.416663257,0.435238716,2.881826352,1.774388038,0.271538155,0.168261036,0.274858066,0.354611718,0.263190539,0.243503765,0.355912334,0.335182435,0.278658692,0.26286483,0.191103156,0.097671927
Decanoic acid (C10_0),0.304920508,0.83178384,0.206814405,0.32737178,0.160828755,0.277006549,0.13120531,0.211758678,0.561965996,1.145799173,0.523701885,0.374426973,0.633333875,0.187772063,0.227939138,0.257233194,0.241875412,1.340433885,0.176418847,0.492933066,0.159082841,0.079488835,0.392100484,0.104000174,0.125743935,0.431653432,0.167397027,0.273838706,0.29786886,0.352757932,0.229238213,0.326732868,0.387534083,5.338566195,0.668373189,0.39386694,0.615406967,0.464009755,0.777227702,0.573467297,0.867492994,0.094703307,0.105866453,0.162940002,0.115644386,0.135166913,0.070653446,0.095280341,0.2100578,0.146669787,0.382333093,0.169323509,0.344589566,0.139818356,0.150553645,0.153677206,0.247435245,0.143610592,0.187544984,0.204775695,0.16978525,0.133324782,0.316267529,0.058071769,0.14865204,0.100501343,0.111968062,0.226759154,0.134811245,0.376915022,0.550165739,0.143146163,0.232521234,0.119563297,0.394211097,0.165350656,0.40037728,0.480882276,0.619027279,0.422186407,1.064192916,0.641339684,0.536329274
Pyruvic acid,1.334843905,2.189084672,2.628668243,1.668357715,2.709984609,2.575707457,2.348047787,2.827377435,2.468700697,3.536695219,4.219505774,3.038198607,3.430684895,3.025618775,3.694287318,3.173361051,2.71457466,4.031246455,2.543167425,3.468643856,2.689260421,2.759821704,3.550884009,2.998577167,2.686716884,3.674670189,2.46212902,2.199757511,2.807253194,3.515320497,3.603953197,3.122652691,4.860208712,5.862704162,6.322282794,4.230329395,5.519635605,4.89888133,6.474568333,4.255645004,5.402960827,1.954487176,2.875220711,2.639321776,15.80131744,3.530534931,18.1345364,2.6947673,19.6863959,3.796707231,2.53022606,3.213272659,2.629139767,2.608833682,3.337189664,3.652930068,2.835796845,3.025790467,3.57444955,3.312285379,3.754089568,3.323966896,3.955644287,3.16087791,3.864088941,86.73530547,2.710041262,3.783734814,2.095576064,3.565284012,3.864031116,2.313563399,3.583620289,28.17700193,4.321402496,27.56992604,4.771441605,4.494798039,6.846332191,4.940590288,7.701947459,5.835890805,5.63295638
