Name,S02,S03,S04,S05,S06,S07,S10,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S34,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S49,S50,C01,C02,C03,C04,C05,C06,C07,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C34,C36,C38,C39,C40,C41,C42,C45,C46,C48,C49,C50
Ornithine,11857560,4331810,17354664,13147195,35200048,31134064,16348379,11167115,3751781,665305,12276574,15781479,2560855,14473889,7385247,12108140,5618889,276296,11336658,624859,14043312,13367110,419204,15200174,10850513,770941,6350015,663113,1115736,2264052,5712802,3596781,4782951,1199716,3181721,9343422,1673798,4145222,484801,2075673,484424,21907594,33039800,31984716,34148188,15487315,38433812,38142136,57431504,47951540,4005960,16600522,22976308,43166488,44245580,34402572,11801060,13609146,20667792,15280330,13405873,5770260,1810749,13758226,5143359,7564976,6029730,4303370,18702256,2222143,896617,17931736,16399968,30849812,6900040,23859460,11791956,21186124,2489595,5063676,1811643,22882398,17374650
Threonine,33632292,36702084,53040540,59185360,90703400,61687572,45381020,32140498,20043224,5901801,37472176,38784616,17825650,41916564,26040284,27301544,17988720,1392158,32340014,3480839,34623008,42710772,2164034,47915584,40901624,3037890,15614462,7044338,8732598,15928045,35877632,28213414,14761688,5108164,7763341,13442059,3519184,6356575,1044045,4048237,1375225,28211302,39843424,40329324,59018896,39222152,64048224,53717620,79830184,58329360,11816169,34868824,32906858,50406148,69896208,58734336,32079140,38203648,46700508,31614758,33677920,15845281,14928653,52485740,29978010,52186260,30022000,29595648,28664346,11433239,7720436,56292452,33646360,86641472,15699693,57532624,38068216,45314852,9961387,12226299,12666730,38462100,30321270
Lactic acid,1605037,1496574,1584708,1695293,678338,1042777,1249245,1753300,921016,860723,980992,2304195,916892,1074425,1063659,985084,925971,625746,1056812,831538,1059675,1068816,672896,979566,1078671,761540,931157,696553,893597,952858,1106551,873281,954493,821163,1043516,1054772,1321219,1202932,830229,968957,978665,2255149,1735950,2025730,1622764,1771030,1789518,2348218,2071786,2059314,2606142,2137854,2741767,2809635,2723462,2687468,2425570,2156784,2315982,2019470,2735168,2351916,1650941,2231086,2179423,973123,2478802,2051012,2463627,2074469,2469492,2902659,2103755,1347945,2139052,1440300,1924297,1980681,2057245,2099832,1856788,2032950,3072382
Tyrosine,3480572,2163632,7721712,8574032,11699700,12722421,6424694,5570660,2324108,395106,6643737,5546706,1977788,5993660,5837154,5496452,3154507,200940,4319887,540588,7621272,7014935,313240,8349477,6074042,746270,4911942,601633,1549862,2545783,5066864,3591693,229878,67302,194041,240987,113822,72464,7686,25905,3538,5094322,12778045,7692044,17880086,5723500,16260536,9635258,26762780,20160114,679235,4144633,7164778,9029385,8469431,8132569,4257275,3943503,6757294,6521090,4131275,1793073,1568131,6548117,3529703,7342881,3635715,3402045,8398730,1553267,1024703,11769236,569591,17163954,241720,13285201,538766,1244693,87281,91287,127787,999815,542366
Oxalic acid,5652936,4298996,3282110,4208653,2536053,3290590,3609178,3241362,5924715,5477834,3822664,2894403,6041423,3013189,3043244,3195434,4300154,6685006,3775300,4311761,3818605,4192786,5995282,3783197,3606845,4429972,5287860,6676624,5704817,5163622,3847427,4673022,2049720,2790616,2144451,2131458,4031686,2767716,1904520,2599898,2341452,1353289,2245746,2821383,17962200,1726143,17600266,1906198,11160320,2874766,3682411,4371157,4770013,2587878,2832570,1171593,1709428,2240792,3739326,3956097,4239420,2847462,5269202,3143678,4596025,43997336,4393068,4406209,5794286,5284636,5894894,3483791,2845114,20651636,2018769,15426396,2754239,3521884,2748392,3619503,5295063,2706983,2095566
Cysteine,189620,1073310,1629290,444761,485679,2076958,110086,719882,1405157,84712,925508,1547311,170658,347839,479062,150219,1274223,90676,1238969,725190,1188775,415837,48604,300889,780585,139191,167859,329696,283496,314135,496190,515217,311361,205189,361915,240481,104844,233019,66626,58870,31650,684882,375760,315503,507721,76742,98962,144455,802425,116862,54652,968997,1563028,461532,567958,216290,49360,60571,261776,213211,44223,35611,73492,85952,120810,114220,47688,165071,369554,837409,416475,240616,130089,218862,135265,203599,185091,256834,108342,126308,115665,140758,65842
Citraconic acid,13047178,8942215,15013868,11760369,18756726,14928785,9544417,6356741,4097595,1318003,6403519,8546065,3149584,9623606,5660889,5342370,4463991,432673,5775488,1007069,6210025,10571921,1011002,10182417,6937114,1223004,4454108,1281491,1893676,3219522,5741747,3948992,6465829,3629280,4966721,11180937,2952488,4796818,1878076,3895280,2576543,17897194,17586624,12334475,10278121,8552679,10188027,13259279,8586953,14554545,6308212,8295538,8053328,19047186,19520270,13169351,5515038,7895196,12010716,6833308,10054640,3752935,1943927,12309848,4998563,6136235,5128175,4308238,16462941,3280873,1821610,16486077,15036064,12207652,6024940,7663380,17958312,17309708,4504926,7223631,3481775,12862084,11501308
2-OxoglutaricacidMCFderivative,1962099,2061507,1811065,1745568,1882872,1773269,1313793,1890686,1525289,881579,2080486,1130202,2689272,1762821,1509028,1788422,1206095,826822,2158761,1055603,1880562,1694581,662443,1556237,1291349,1091760,1905188,1786334,1898515,2738116,2456592,1355808,2015264,1430961,2152469,1259225,1552579,2139783,632855,1125264,626311,673132,1136228,1917925,2934000,951169,2809064,1501235,3080840,1666611,708381,2657236,2654264,2489636,42158260,1002538,571828,845373,2793468,2562257,1477007,371020,3063107,1217223,2138172,5830974,1166814,2787515,1900909,2183660,1777645,2188096,1365212,3194825,826392,2672839,1322429,2690737,1432020,1749914,3095775,2552088,1391979
Palmitic acid (C16_0),5043145,10684473,7948468,9770637,4716401,9467721,6514431,7529175,5522834,4161435,5478176,5233197,4950108,4809762,6140221,5614786,3411157,3342909,5081853,3896575,5311102,4626731,2997527,3359779,4869373,3944797,6851936,4406415,5645422,5621778,8251991,6287192,6526506,4986125,6470263,4846208,6722677,6430363,4932011,6377021,5541464,920969,809639,1180760,739708,963053,1112960,778584,2306567,2145986,977199,1467733,1449411,1641652,1224311,737209,472755,840126,1823155,1556700,791565,621174,1629907,897212,1262938,1016845,921528,1487288,3167023,3716013,3868931,2270962,3148924,2430836,3247436,2474223,3495721,5004658,5046812,4241086,6232329,6093383,4775940
Myristic acid (C14_0),1067949,3224591,1958834,1996269,1595790,2236626,1380441,2489763,1375297,869583,1164225,1023221,1165836,1121879,2369200,1422553,717948,642581,1101829,725817,977700,785219,637384,1240293,1100456,752139,1079815,1035909,979914,1102253,1703911,1671857,1538948,1012439,1434579,1251665,1395454,1301250,820513,1181602,987335,292433,241025,316883,218952,335312,316662,217035,513474,627484,258817,311673,334123,439108,300239,224129,152182,241048,417791,373696,208196,186236,379866,258145,343826,295765,273258,349856,733250,734702,683374,599499,705790,532491,589565,497847,961868,1220416,1289940,919388,1073158,1333116,1082110
Pyruvic acid,869744,1469097,2138504,1619639,2327255,2289164,1742138,1592279,1250824,712698,2951468,2212313,1323075,2322806,1858982,2022954,1221694,322263,1572732,834586,1913993,2251567,491445,2225892,1985446,744616,1505323,648170,1105885,1764138,2354882,1961511,3451749,2298716,3311821,3652695,2719336,2813039,1336136,1823390,1329382,1308986,1810931,1423669,7900769,1335898,9941040,1498464,10973739,2357032,808914,1517050,1422838,1597337,2048792,1820318,975013,1195984,1895014,1618829,1277032,804784,813423,2619361,1435451,44148112,1387235,1499016,1779319,1036010,906945,2050100,2770633,22436580,1648379,21327550,3626847,3243543,2212960,2239428,3388988,4298455,3797254
Octanoic acid (C8_0),641508,1598801,698587,1388254,796151,1248204,868039,934202,1176908,897992,1217333,993024,941029,452060,400164,531829,444202,319289,384822,406109,528700,523616,338583,403489,446873,337943,439454,398617,429310,477011,465365,510002,973055,962335,1093244,1179088,1132167,974588,784924,1122991,1055295,306510,314330,359252,264707,269535,267374,235322,363853,286233,231576,311808,303815,314601,297144,274267,279064,290639,327768,329833,319912,256593,336738,288561,364817,264892,280618,296259,319593,391041,404513,379614,657439,275741,580738,232662,1166527,1205338,853420,800330,1371398,1312672,1501070
1-Aminocyclopropane-1-carboxylicacidMCFderivative,10233019,5847305,7696532,5818694,7858103,6343192,4064310,3136886,2872740,893998,3770775,4139887,2530875,4591996,2322606,2237778,2463075,215866,2815018,483851,3578246,6160616,599118,5762090,3804268,607567,1991884,844682,1089356,1722193,2855622,2014197,2449444,1649056,1869909,5048432,1363192,2228345,565604,1295666,659698,5160231,6026964,4734523,2817518,3078034,1666055,4777743,1314658,3752265,3052164,4101147,4422859,6615430,6641500,2460794,1256466,2926286,4787872,3143538,2729255,1328545,1058206,3219440,2726380,2279258,2466363,2362512,6569417,2043536,1388194,8192790,6418051,3315166,2191941,1715538,7107169,6638959,2233561,3079629,1801326,4208143,4566573
Levulinic acid,301320,275650,274288,303929,403677,270534,258079,245074,205211,139437,295038,208652,210909,260780,180854,226508,224667,140277,247584,175140,266805,265919,147238,244659,210069,182082,173206,151466,150672,224907,254829,328105,258466,297070,345844,328563,253790,298358,257254,268624,253517,369449,290373,330839,258524,268324,241379,244250,280400,329653,301668,343637,411813,410109,480420,347588,278878,239286,445717,337466,318762,203780,295534,326152,256364,280438,214792,344316,254374,296026,359522,497961,448820,349425,353559,331180,478126,517317,324219,403453,349885,449720,477332
